,case,model,area,variable,mean,std,periodo,predictor
75,pycpt_GTM_EPS_UA_JAS,METEOFRANCE8,sur,pearson,0.5538074285714286,0.10944869248433539,JAS,UA
76,pycpt_GTM_EPS_UA_JAS,METEOFRANCE8,sur,spearman,0.5108695714285714,0.12444134510552941,JAS,UA
77,pycpt_GTM_EPS_UA_JAS,METEOFRANCE8,sur,two_alternative_forced_choice,68.03830228571428,4.913164316858977,JAS,UA
78,pycpt_GTM_EPS_UA_JAS,METEOFRANCE8,sur,roc_area_below_normal,0.7285293571428572,0.09866429397319779,JAS,UA
79,pycpt_GTM_EPS_UA_JAS,METEOFRANCE8,sur,roc_area_above_normal,0.7080628571428572,0.07734543689639278,JAS,UA
80,pycpt_GTM_EPS_UA_JAS,METEOFRANCE8,central,pearson,0.5963644166666667,0.10783262660751795,JAS,UA
81,pycpt_GTM_EPS_UA_JAS,METEOFRANCE8,central,spearman,0.5287680416666666,0.10806865246009098,JAS,UA
82,pycpt_GTM_EPS_UA_JAS,METEOFRANCE8,central,two_alternative_forced_choice,70.01811595833334,4.128752636917833,JAS,UA
83,pycpt_GTM_EPS_UA_JAS,METEOFRANCE8,central,roc_area_below_normal,0.7017460833333334,0.1066483557049821,JAS,UA
84,pycpt_GTM_EPS_UA_JAS,METEOFRANCE8,central,roc_area_above_normal,0.7590903333333333,0.06978690436408698,JAS,UA
85,pycpt_GTM_EPS_UA_JAS,METEOFRANCE8,norte,pearson,0.4250595384615385,0.25633884375331606,JAS,UA
86,pycpt_GTM_EPS_UA_JAS,METEOFRANCE8,norte,spearman,0.4142475,0.2263756553492192,JAS,UA
87,pycpt_GTM_EPS_UA_JAS,METEOFRANCE8,norte,two_alternative_forced_choice,65.14771461538461,8.588161317883005,JAS,UA
88,pycpt_GTM_EPS_UA_JAS,METEOFRANCE8,norte,roc_area_below_normal,0.6802231538461538,0.14716597538903856,JAS,UA
89,pycpt_GTM_EPS_UA_JAS,METEOFRANCE8,norte,roc_area_above_normal,0.7172560769230769,0.1094252889533884,JAS,UA
90,pycpt_GTM_EPS_UA_JAS,SEAS5,sur,pearson,0.40976364285714284,0.10660426683809018,JAS,UA
91,pycpt_GTM_EPS_UA_JAS,SEAS5,sur,spearman,0.41559007142857146,0.10885978226695651,JAS,UA
92,pycpt_GTM_EPS_UA_JAS,SEAS5,sur,two_alternative_forced_choice,64.4409937857143,3.9592044438520055,JAS,UA
93,pycpt_GTM_EPS_UA_JAS,SEAS5,sur,roc_area_below_normal,0.6795317857142857,0.10772965353087632,JAS,UA
94,pycpt_GTM_EPS_UA_JAS,SEAS5,sur,roc_area_above_normal,0.7194463571428572,0.0730750470735464,JAS,UA
95,pycpt_GTM_EPS_UA_JAS,SEAS5,central,pearson,0.55007625,0.10845065748965056,JAS,UA
96,pycpt_GTM_EPS_UA_JAS,SEAS5,central,spearman,0.5026811250000001,0.1203787824591999,JAS,UA
97,pycpt_GTM_EPS_UA_JAS,SEAS5,central,two_alternative_forced_choice,68.52355070833335,4.507573200943039,JAS,UA
98,pycpt_GTM_EPS_UA_JAS,SEAS5,central,roc_area_below_normal,0.7436529583333334,0.10593594794319472,JAS,UA
99,pycpt_GTM_EPS_UA_JAS,SEAS5,central,roc_area_above_normal,0.74956525,0.07556319178522591,JAS,UA
100,pycpt_GTM_EPS_UA_JAS,SEAS5,norte,pearson,0.35774700000000004,0.3090785470040809,JAS,UA
101,pycpt_GTM_EPS_UA_JAS,SEAS5,norte,spearman,0.39371242307692306,0.24109120456441585,JAS,UA
102,pycpt_GTM_EPS_UA_JAS,SEAS5,norte,two_alternative_forced_choice,64.464883,8.678752631289635,JAS,UA
103,pycpt_GTM_EPS_UA_JAS,SEAS5,norte,roc_area_below_normal,0.6747192307692308,0.16704712265297794,JAS,UA
104,pycpt_GTM_EPS_UA_JAS,SEAS5,norte,roc_area_above_normal,0.7077190769230769,0.1140618622728383,JAS,UA
105,pycpt_GTM_EPS_UA_JAS,CanSIPSIC3,sur,pearson,0.4326422857142857,0.11309795614070169,JAS,UA
106,pycpt_GTM_EPS_UA_JAS,CanSIPSIC3,sur,spearman,0.4113664285714286,0.11976783260286442,JAS,UA
107,pycpt_GTM_EPS_UA_JAS,CanSIPSIC3,sur,two_alternative_forced_choice,64.699793,4.338573416720378,JAS,UA
108,pycpt_GTM_EPS_UA_JAS,CanSIPSIC3,sur,roc_area_below_normal,0.6852481428571428,0.09737015254382712,JAS,UA
109,pycpt_GTM_EPS_UA_JAS,CanSIPSIC3,sur,roc_area_above_normal,0.7072480714285714,0.08973545674565898,JAS,UA
110,pycpt_GTM_EPS_UA_JAS,CanSIPSIC3,central,pearson,0.5490681666666667,0.1093576942433509,JAS,UA
111,pycpt_GTM_EPS_UA_JAS,CanSIPSIC3,central,spearman,0.5154347083333334,0.12433067197949693,JAS,UA
112,pycpt_GTM_EPS_UA_JAS,CanSIPSIC3,central,two_alternative_forced_choice,68.25181170833334,4.5732289087193125,JAS,UA
113,pycpt_GTM_EPS_UA_JAS,CanSIPSIC3,central,roc_area_below_normal,0.7296176249999999,0.10096203180561347,JAS,UA
114,pycpt_GTM_EPS_UA_JAS,CanSIPSIC3,central,roc_area_above_normal,0.7560982916666666,0.08898615944510659,JAS,UA
115,pycpt_GTM_EPS_UA_JAS,CanSIPSIC3,norte,pearson,0.31610638461538465,0.29336093623136733,JAS,UA
116,pycpt_GTM_EPS_UA_JAS,CanSIPSIC3,norte,spearman,0.32317723076923077,0.27355862489662314,JAS,UA
117,pycpt_GTM_EPS_UA_JAS,CanSIPSIC3,norte,two_alternative_forced_choice,61.55239684615385,10.137124209884758,JAS,UA
118,pycpt_GTM_EPS_UA_JAS,CanSIPSIC3,norte,roc_area_below_normal,0.6091595000000001,0.19529481190876724,JAS,UA
119,pycpt_GTM_EPS_UA_JAS,CanSIPSIC3,norte,roc_area_above_normal,0.694695076923077,0.13202610989932229,JAS,UA
120,pycpt_GTM_EPS_NIÑO_MJJ,CanSIPSIC3,sur,pearson,0.12434378571428573,0.0699100205592656,MJJ,NIÑO
121,pycpt_GTM_EPS_NIÑO_MJJ,CanSIPSIC3,sur,spearman,0.27204957142857145,0.10449783173534155,MJJ,NIÑO
122,pycpt_GTM_EPS_NIÑO_MJJ,CanSIPSIC3,sur,two_alternative_forced_choice,58.9285715,3.2940773625145736,MJJ,NIÑO
123,pycpt_GTM_EPS_NIÑO_MJJ,CanSIPSIC3,sur,roc_area_below_normal,0.6042247142857143,0.0911865384523306,MJJ,NIÑO
124,pycpt_GTM_EPS_NIÑO_MJJ,CanSIPSIC3,sur,roc_area_above_normal,0.6721313571428572,0.09156169408936964,MJJ,NIÑO
125,pycpt_GTM_EPS_NIÑO_MJJ,CanSIPSIC3,central,pearson,0.2816177916666666,0.06718554127934272,MJJ,NIÑO
126,pycpt_GTM_EPS_NIÑO_MJJ,CanSIPSIC3,central,spearman,0.34474629166666665,0.11462551314479076,MJJ,NIÑO
127,pycpt_GTM_EPS_NIÑO_MJJ,CanSIPSIC3,central,two_alternative_forced_choice,61.38285025,3.7768106145929137,MJJ,NIÑO
128,pycpt_GTM_EPS_NIÑO_MJJ,CanSIPSIC3,central,roc_area_below_normal,0.7051537916666667,0.0987890709213234,MJJ,NIÑO
129,pycpt_GTM_EPS_NIÑO_MJJ,CanSIPSIC3,central,roc_area_above_normal,0.6537794583333333,0.08186456303603896,MJJ,NIÑO
130,pycpt_GTM_EPS_NIÑO_MJJ,CanSIPSIC3,norte,pearson,0.0756051923076923,0.09998894765269703,MJJ,NIÑO
131,pycpt_GTM_EPS_NIÑO_MJJ,CanSIPSIC3,norte,spearman,0.12036780769230769,0.1202017957084666,MJJ,NIÑO
132,pycpt_GTM_EPS_NIÑO_MJJ,CanSIPSIC3,norte,two_alternative_forced_choice,54.250278692307695,4.072673184394769,MJJ,NIÑO
133,pycpt_GTM_EPS_NIÑO_MJJ,CanSIPSIC3,norte,roc_area_below_normal,0.5700143076923077,0.08821166443921173,MJJ,NIÑO
134,pycpt_GTM_EPS_NIÑO_MJJ,CanSIPSIC3,norte,roc_area_above_normal,0.5721757307692308,0.08342797858243116,MJJ,NIÑO
135,pycpt_GTM_EPS_NIÑO_MJJ,SPEAR,sur,pearson,0.031855,0.08600184096119272,MJJ,NIÑO
136,pycpt_GTM_EPS_NIÑO_MJJ,SPEAR,sur,spearman,-0.0017391428571428597,0.09098850491122266,MJJ,NIÑO
137,pycpt_GTM_EPS_NIÑO_MJJ,SPEAR,sur,two_alternative_forced_choice,49.99999992857143,3.5446985157962194,MJJ,NIÑO
138,pycpt_GTM_EPS_NIÑO_MJJ,SPEAR,sur,roc_area_below_normal,0.493111,0.07599415668796047,MJJ,NIÑO
139,pycpt_GTM_EPS_NIÑO_MJJ,SPEAR,sur,roc_area_above_normal,0.46862228571428577,0.08059392428042184,MJJ,NIÑO
140,pycpt_GTM_EPS_NIÑO_MJJ,SPEAR,central,pearson,0.18339120833333333,0.12939184542278903,MJJ,NIÑO
141,pycpt_GTM_EPS_NIÑO_MJJ,SPEAR,central,spearman,0.15963762499999998,0.14123693479392838,MJJ,NIÑO
142,pycpt_GTM_EPS_NIÑO_MJJ,SPEAR,central,two_alternative_forced_choice,56.053743958333335,5.248914236752211,MJJ,NIÑO
143,pycpt_GTM_EPS_NIÑO_MJJ,SPEAR,central,roc_area_below_normal,0.5711437916666666,0.09480687520295278,MJJ,NIÑO
144,pycpt_GTM_EPS_NIÑO_MJJ,SPEAR,central,roc_area_above_normal,0.578590125,0.09970348473110677,MJJ,NIÑO
145,pycpt_GTM_EPS_NIÑO_MJJ,SPEAR,norte,pearson,0.017820038461538464,0.11106160273902073,MJJ,NIÑO
146,pycpt_GTM_EPS_NIÑO_MJJ,SPEAR,norte,spearman,0.006755807692307696,0.1262024484630881,MJJ,NIÑO
147,pycpt_GTM_EPS_NIÑO_MJJ,SPEAR,norte,two_alternative_forced_choice,50.25083615384616,4.371878459749351,MJJ,NIÑO
148,pycpt_GTM_EPS_NIÑO_MJJ,SPEAR,norte,roc_area_below_normal,0.5468132307692307,0.10816427337381418,MJJ,NIÑO
149,pycpt_GTM_EPS_NIÑO_MJJ,SPEAR,norte,roc_area_above_normal,0.4792095769230769,0.09264908995450484,MJJ,NIÑO
